# Arguments: [ComplEx(3595, num_relations=7, hidden_channels=50), 8000, 200, False]
Epoch,Precision,Recall,Hits
160,tensor(0.0289),tensor(0.0189),tensor(0.3420)
161,tensor(0.0287),tensor(0.0188),tensor(0.3398)
162,tensor(0.0287),tensor(0.0188),tensor(0.3398)
163,tensor(0.0287),tensor(0.0188),tensor(0.3398)
164,tensor(0.0288),tensor(0.0188),tensor(0.3398)
165,tensor(0.0282),tensor(0.0186),tensor(0.3377)
166,tensor(0.0284),tensor(0.0186),tensor(0.3377)
167,tensor(0.0285),tensor(0.0186),tensor(0.3377)
168,tensor(0.0282),tensor(0.0186),tensor(0.3377)
169,tensor(0.0281),tensor(0.0184),tensor(0.3355)
170,tensor(0.0282),tensor(0.0186),tensor(0.3377)
171,tensor(0.0284),tensor(0.0186),tensor(0.3377)
172,tensor(0.0284),tensor(0.0186),tensor(0.3377)
173,tensor(0.0282),tensor(0.0184),tensor(0.3333)
174,tensor(0.0284),tensor(0.0184),tensor(0.3333)
175,tensor(0.0287),tensor(0.0185),tensor(0.3377)
176,tensor(0.0288),tensor(0.0187),tensor(0.3398)
177,tensor(0.0287),tensor(0.0187),tensor(0.3377)
178,tensor(0.0285),tensor(0.0186),tensor(0.3355)
179,tensor(0.0284),tensor(0.0186),tensor(0.3355)
180,tensor(0.0286),tensor(0.0186),tensor(0.3355)
181,tensor(0.0285),tensor(0.0186),tensor(0.3355)
182,tensor(0.0287),tensor(0.0187),tensor(0.3355)
183,tensor(0.0288),tensor(0.0187),tensor(0.3355)
184,tensor(0.0287),tensor(0.0186),tensor(0.3312)
185,tensor(0.0286),tensor(0.0186),tensor(0.3312)
186,tensor(0.0287),tensor(0.0186),tensor(0.3333)
187,tensor(0.0287),tensor(0.0186),tensor(0.3333)
188,tensor(0.0287),tensor(0.0186),tensor(0.3333)
189,tensor(0.0285),tensor(0.0186),tensor(0.3333)
190,tensor(0.0285),tensor(0.0186),tensor(0.3333)
191,tensor(0.0285),tensor(0.0186),tensor(0.3333)
192,tensor(0.0281),tensor(0.0185),tensor(0.3290)
193,tensor(0.0280),tensor(0.0185),tensor(0.3312)
194,tensor(0.0279),tensor(0.0185),tensor(0.3312)
195,tensor(0.0280),tensor(0.0186),tensor(0.3312)
196,tensor(0.0281),tensor(0.0186),tensor(0.3333)
197,tensor(0.0277),tensor(0.0184),tensor(0.3268)
198,tensor(0.0279),tensor(0.0185),tensor(0.3290)
199,tensor(0.0284),tensor(0.0187),tensor(0.3355)
