# Arguments: [ComplEx(3595, num_relations=7, hidden_channels=50), 8000, 100, False]
# Training time: 140.91519498825073
Epoch,Loss,Precision,Recall,Hits
79,0.6879803771030597,"tensor(0.0262, device='cuda:0')","tensor(0.0158, device='cuda:0')","tensor(0.2965, device='cuda:0')"
80,0.6878349518062405,"tensor(0.0259, device='cuda:0')","tensor(0.0157, device='cuda:0')","tensor(0.2965, device='cuda:0')"
81,0.6876618101445003,"tensor(0.0260, device='cuda:0')","tensor(0.0158, device='cuda:0')","tensor(0.2965, device='cuda:0')"
82,0.6875115402340228,"tensor(0.0262, device='cuda:0')","tensor(0.0155, device='cuda:0')","tensor(0.3009, device='cuda:0')"
83,0.6873333054064592,"tensor(0.0262, device='cuda:0')","tensor(0.0155, device='cuda:0')","tensor(0.3009, device='cuda:0')"
84,0.6871815502307598,"tensor(0.0266, device='cuda:0')","tensor(0.0157, device='cuda:0')","tensor(0.3074, device='cuda:0')"
85,0.6869874816728011,"tensor(0.0267, device='cuda:0')","tensor(0.0158, device='cuda:0')","tensor(0.3095, device='cuda:0')"
86,0.6868030475384864,"tensor(0.0267, device='cuda:0')","tensor(0.0157, device='cuda:0')","tensor(0.3095, device='cuda:0')"
87,0.6866201873915678,"tensor(0.0267, device='cuda:0')","tensor(0.0156, device='cuda:0')","tensor(0.3139, device='cuda:0')"
88,0.6864453258174477,"tensor(0.0268, device='cuda:0')","tensor(0.0156, device='cuda:0')","tensor(0.3139, device='cuda:0')"
89,0.686277933631104,"tensor(0.0273, device='cuda:0')","tensor(0.0159, device='cuda:0')","tensor(0.3182, device='cuda:0')"
90,0.6860844501521117,"tensor(0.0273, device='cuda:0')","tensor(0.0159, device='cuda:0')","tensor(0.3203, device='cuda:0')"
91,0.6858832937271085,"tensor(0.0272, device='cuda:0')","tensor(0.0159, device='cuda:0')","tensor(0.3182, device='cuda:0')"
92,0.685688556977239,"tensor(0.0267, device='cuda:0')","tensor(0.0158, device='cuda:0')","tensor(0.3160, device='cuda:0')"
93,0.6854941525050816,"tensor(0.0267, device='cuda:0')","tensor(0.0158, device='cuda:0')","tensor(0.3160, device='cuda:0')"
94,0.68531677353642,"tensor(0.0267, device='cuda:0')","tensor(0.0158, device='cuda:0')","tensor(0.3160, device='cuda:0')"
95,0.6850984597809003,"tensor(0.0267, device='cuda:0')","tensor(0.0158, device='cuda:0')","tensor(0.3160, device='cuda:0')"
96,0.6848821999466832,"tensor(0.0266, device='cuda:0')","tensor(0.0158, device='cuda:0')","tensor(0.3139, device='cuda:0')"
97,0.6846887976470232,"tensor(0.0264, device='cuda:0')","tensor(0.0157, device='cuda:0')","tensor(0.3095, device='cuda:0')"
98,0.684481709614648,"tensor(0.0260, device='cuda:0')","tensor(0.0156, device='cuda:0')","tensor(0.3052, device='cuda:0')"
99,0.6842668469590204,"tensor(0.0261, device='cuda:0')","tensor(0.0156, device='cuda:0')","tensor(0.3074, device='cuda:0')"
